account_age_days,amount,country,customer_id,device_id,failed_attempts_24h,fraud,merchant_id,payment_method,transaction_id,transaction_time
375.99,25.36,GB,2915,2869,0,0,55,card,12493,2025-01-01 10:10:19
682.93,39.19,BG,209,4510,1,0,66,wallet,42505,2025-01-01 10:18:31
264.66,292.58,PL,323,830,2,0,87,card,37501,2025-01-01 10:19:30
8.34,53.39,ES,2664,6549,1,0,42,card,18114,2025-01-01 10:27:50
381.75,96.86,ES,4517,3625,0,0,81,card,34616,2025-01-01 10:30:34
627.6,58.73,FR,2537,4796,0,0,63,card,48028,2025-01-01 10:42:31
482.05,151.47,PL,3986,5849,0,0,61,card,1055,2025-01-01 11:15:11
479.02,185.72,NL,2054,4790,1,0,74,bank_transfer,48935,2025-01-01 11:20:46
605.1,49.07,PL,4931,2160,1,0,82,card,673,2025-01-01 11:29:38
399.38,121.48,BG,4152,3533,0,0,74,bank_transfer,8243,2025-01-01 11:30:44
983.8,56.86,FR,2564,2420,0,0,28,wallet,46687,2025-01-01 11:34:35
427.63,94.85,DE,4821,1253,0,0,73,card,5658,2025-01-01 11:34:58
680.03,55.07,US,3994,5993,0,0,100,cash,19284,2025-01-01 12:05:16
192.71,223.32,IT,109,5098,0,0,95,bank_transfer,28060,2025-01-01 12:20:36
230.1,46.89,RO,801,3366,0,0,99,card,41876,2025-01-01 12:35:02
521.17,90.97,ES,3624,1965,1,0,86,bank_transfer,19813,2025-01-01 12:40:51
740.57,81.74,DE,3210,3409,1,0,79,card,4267,2025-01-01 13:18:05
545.43,287.49,PL,4243,7868,0,0,70,card,17955,2025-01-01 13:24:10
631.85,36.3,RO,4769,5875,0,0,35,card,48057,2025-01-01 13:51:23
374.8,103.69,RO,1006,6444,1,0,19,card,9701,2025-01-01 13:56:48
377.93,341.03,US,2642,2218,0,0,39,wallet,31957,2025-01-01 14:01:06
590.64,115.3,IT,2299,492,0,0,24,cash,3774,2025-01-01 14:11:47
596.93,81.94,FR,468,2007,0,0,22,card,43210,2025-01-01 14:31:45
460.84,21.34,PL,2711,5049,0,0,92,card,23164,2025-01-01 14:33:13
118.94,34.23,IT,2150,50,0,0,79,card,3184,2025-01-01 14:33:33
360.88,154.72,IT,3753,5585,2,0,57,bank_transfer,47148,2025-01-01 14:34:21
508.75,370.76,FR,547,2683,1,0,28,card,45378,2025-01-01 14:39:13
508.78,28.35,BG,4735,6872,1,0,9,card,27408,2025-01-01 14:42:42
352.56,23.09,US,2584,2180,1,0,84,cash,12500,2025-01-01 14:42:58
420.36,192.02,DE,928,411,1,0,55,wallet,35935,2025-01-01 14:48:17
299.13,109.09,PL,2519,4171,0,0,90,card,26604,2025-01-01 14:51:55
595.15,92.71,BG,2532,5071,0,0,12,wallet,5024,2025-01-01 14:53:43
305.02,266.98,ES,96,3798,0,0,57,bank_transfer,4851,2025-01-01 15:11:36
369.81,16.37,PL,4425,88,0,0,38,card,38167,2025-01-01 15:13:23
460.97,21.34,US,2850,7129,1,0,25,bank_transfer,2415,2025-01-01 15:13:49
528.67,172.23,GB,654,306,1,0,67,bank_transfer,41502,2025-01-01 15:13:49
536.48,142.94,PL,1837,1361,0,0,59,card,34996,2025-01-01 15:45:40
360.05,74.02,BG,2649,2057,1,0,99,bank_transfer,9826,2025-01-01 15:57:16
664.72,83.06,DE,1838,5001,0,0,40,card,29698,2025-01-01 16:15:51
412.23,106.21,GB,3962,2259,1,0,51,card,3617,2025-01-01 16:36:42
55.72,243.72,BG,4164,1957,0,0,90,wallet,20674,2025-01-01 16:55:31
265.13,194.38,RO,2368,6059,0,0,25,card,15136,2025-01-01 16:59:16
400.13,311.48,BG,4185,7651,0,0,4,bank_transfer,6548,2025-01-01 17:20:38
597.22,69.86,GB,1905,344,1,0,20,wallet,47679,2025-01-01 17:34:48
592.98,40.88,GB,2286,3332,1,0,83,bank_transfer,24505,2025-01-01 17:35:35
579.21,102.33,NL,4011,959,0,0,86,card,33554,2025-01-01 17:49:32
692.99,80.68,RO,3569,7353,2,0,82,card,8428,2025-01-01 18:03:32
501.85,161.46,NL,2692,6098,0,0,62,card,3596,2025-01-01 18:06:59
451.05,26.57,ES,3492,6162,1,0,79,wallet,16604,2025-01-01 18:08:47
512.8,54.64,US,1616,3513,0,0,10,card,4413,2025-01-01 18:11:20
326.18,58.87,NL,3751,5402,0,0,80,card,3339,2025-01-01 18:13:23
210.44,21.8,DE,2413,2751,1,0,19,card,32979,2025-01-01 18:15:42
490.92,92.52,BG,1713,3208,0,0,92,card,9456,2025-01-01 18:47:44
468.29,124.82,ES,3413,3478,0,0,94,cash,18070,2025-01-01 18:59:04
483.67,17.94,FR,4675,6403,2,0,33,card,40067,2025-01-01 19:00:39
822.95,41.46,GB,2108,5091,2,0,77,card,39802,2025-01-01 19:08:55
371.78,89.52,ES,3099,4201,0,0,68,wallet,30253,2025-01-01 19:10:22
513.12,13.49,PL,3552,7033,0,0,94,cash,10504,2025-01-01 19:19:33
542.53,125.57,RO,3716,7440,0,0,6,bank_transfer,24443,2025-01-01 19:48:28
522.3,220.49,RO,126,6340,0,0,83,card,13705,2025-01-01 19:56:23
475.17,196.12,DE,3367,907,0,0,72,bank_transfer,18566,2025-01-01 19:58:24
598.09,1097.91,FR,2528,7622,0,0,19,wallet,23334,2025-01-01 20:00:07
559.95,137.96,US,527,4707,0,0,49,card,30133,2025-01-01 20:07:15
561.88,78.02,PL,2957,617,0,0,13,card,42971,2025-01-01 20:07:41
571.26,36.83,FR,192,6292,1,0,85,card,45131,2025-01-01 20:13:11
394.62,66.66,BG,1328,1789,0,0,33,card,48947,2025-01-01 20:15:57
222.99,55.78,FR,214,818,0,0,29,wallet,9133,2025-01-01 20:23:49
549.26,63.68,PL,996,4313,0,0,89,bank_transfer,34915,2025-01-01 20:43:37
644.77,78.22,RO,4547,1394,0,0,47,bank_transfer,23271,2025-01-01 20:44:29
442.83,35.22,DE,4241,6757,0,0,52,card,25299,2025-01-01 21:12:32
398.33,39.51,FR,3460,3154,0,0,77,cash,9639,2025-01-01 22:01:35
468.04,96.58,BG,4783,6581,0,0,25,card,11822,2025-01-01 22:04:04
497.17,42.37,PL,4489,7554,0,0,13,card,44998,2025-01-01 22:08:27
366.28,53.13,DE,2374,7488,0,0,90,wallet,44625,2025-01-01 22:16:25
625.5,103.16,PL,3355,1725,0,0,84,card,4878,2025-01-01 22:28:19
343.74,36.67,US,2105,2236,0,0,22,bank_transfer,48990,2025-01-01 22:42:49
771.27,124.64,PL,821,1765,0,0,52,card,1329,2025-01-01 22:59:41
669.46,35.43,BG,4627,5757,0,0,74,bank_transfer,28396,2025-01-01 23:04:15
505.93,67.51,PL,4972,7360,0,0,68,card,40883,2025-01-01 23:38:48
344.46,94.02,GB,368,3936,0,0,68,wallet,25694,2025-01-01 23:44:09
477.36,275.7,DE,3368,2953,0,0,39,card,12982,2025-01-01 23:46:29
587.63,45.41,PL,3166,459,0,0,44,bank_transfer,45737,2025-01-02 00:17:11
452.13,81.68,US,4190,587,1,0,44,card,5520,2025-01-02 00:17:11
324.96,45.96,US,1501,5223,1,0,56,bank_transfer,32712,2025-01-02 00:18:01
211.93,46.96,US,3101,120,0,0,51,card,48870,2025-01-02 00:35:49
251.04,66.49,IT,1056,2815,0,0,40,card,25264,2025-01-02 00:36:51
281.64,35.39,FR,97,7813,0,0,90,wallet,48896,2025-01-02 00:43:22
379.23,57.05,RO,4785,4171,0,0,81,wallet,17918,2025-01-02 00:54:32
585.43,34.93,BG,731,2478,0,0,72,bank_transfer,27726,2025-01-02 01:19:34
255.12,67.64,IT,2748,2567,1,0,71,card,34093,2025-01-02 01:25:28
485.85,138.72,NL,4345,4352,0,0,47,card,18423,2025-01-02 01:26:45
570.46,115.19,IT,3004,5934,2,0,3,card,14662,2025-01-02 01:47:20
327.42,66.92,GB,1864,2679,1,0,39,card,26633,2025-01-02 01:52:52
393.23,29.29,ES,1869,853,0,0,93,bank_transfer,36922,2025-01-02 02:15:30
451.93,52.76,DE,1776,3339,1,0,56,card,15955,2025-01-02 02:17:23
598.72,22.96,ES,729,6161,1,0,16,card,5664,2025-01-02 02:28:04
479.15,89.11,PL,4945,5211,0,0,45,card,15189,2025-01-02 02:46:57
346.62,128.6,IT,4724,691,0,0,92,wallet,37567,2025-01-02 02:50:33
170.52,18.25,PL,440,1643,0,0,87,cash,22258,2025-01-02 03:00:13
425.09,32.08,RO,4719,4373,1,0,26,card,7275,2025-01-02 03:15:13
428.09,111.79,ES,262,5881,0,0,71,card,33968,2025-01-02 03:19:09
283.2,89.38,ES,4507,7967,0,0,34,bank_transfer,17226,2025-01-02 03:38:43
272.25,26.12,BG,4065,3393,0,0,33,card,47139,2025-01-02 03:41:43
433.11,54.25,GB,4882,6117,2,0,90,card,37713,2025-01-02 04:11:25
471.19,83.66,NL,257,7590,0,0,87,card,30116,2025-01-02 04:16:49
244.05,87.55,US,4037,4101,0,1,89,wallet,34576,2025-01-02 04:42:48
248.01,23.14,ES,2095,7382,1,0,66,card,29423,2025-01-02 04:58:46
436.21,40.23,RO,4247,1368,2,0,16,wallet,4343,2025-01-02 05:06:03
224.16,80.56,BG,1859,237,0,0,12,card,14587,2025-01-02 06:02:16
275.79,137.11,US,963,7170,0,0,35,card,11904,2025-01-02 06:08:05
369.03,127.63,PL,4531,1343,1,0,25,cash,18395,2025-01-02 06:34:10
350.47,63.28,PL,2358,5906,0,0,51,card,18404,2025-01-02 06:35:30
546.74,19.18,RO,4167,3677,0,0,1,bank_transfer,10527,2025-01-02 06:52:53
446.46,344.29,BG,729,4038,1,0,85,card,17216,2025-01-02 07:16:16
520.51,113.42,FR,3672,817,0,0,89,card,38135,2025-01-02 07:27:25
605.75,98.9,BG,75,592,0,0,26,card,14127,2025-01-02 07:37:06
677.67,32.79,BG,3106,6863,0,0,97,card,41126,2025-01-02 07:39:35
633.57,147.34,DE,3269,115,0,0,48,card,42386,2025-01-02 07:52:54
477.03,12.42,NL,398,1876,1,0,31,bank_transfer,26264,2025-01-02 08:02:15
518.24,143.55,PL,4955,5598,1,0,56,bank_transfer,36105,2025-01-02 08:27:29
552.43,54.08,GB,137,5158,1,0,37,card,42684,2025-01-02 08:34:52
607.0,69.78,BG,513,1095,1,0,26,card,14437,2025-01-02 08:42:21
172.25,57.4,NL,1893,4612,0,1,42,card,29150,2025-01-02 09:09:49
690.07,183.96,FR,357,243,0,0,18,cash,48678,2025-01-02 09:31:38
373.98,234.62,ES,1965,7921,2,0,98,card,24391,2025-01-02 09:34:51
382.3,85.11,DE,2135,7280,0,0,31,bank_transfer,36489,2025-01-02 09:36:11
305.66,191.57,BG,2715,575,0,0,7,cash,32892,2025-01-02 09:47:34
566.41,57.58,US,1764,7986,1,0,73,card,4050,2025-01-02 10:03:05
440.31,59.16,PL,3942,6954,1,0,57,bank_transfer,21517,2025-01-02 10:41:41
477.62,79.33,BG,578,5150,0,0,91,wallet,48624,2025-01-02 11:03:18
613.47,216.22,PL,4151,6422,0,0,28,card,11439,2025-01-02 11:09:32
272.93,53.88,PL,1728,7401,0,0,64,wallet,42995,2025-01-02 11:12:00
240.42,51.26,PL,4067,6895,0,0,78,wallet,48756,2025-01-02 11:17:35
706.6,188.99,RO,3526,6724,0,0,97,bank_transfer,43908,2025-01-02 11:19:06
394.35,72.39,IT,4135,1767,0,0,57,card,16242,2025-01-02 11:25:07
454.09,53.45,IT,710,2244,0,0,71,card,27806,2025-01-02 11:44:25
486.72,161.15,NL,4750,7617,1,0,22,card,43099,2025-01-02 11:58:16
227.74,69.62,US,1832,5239,2,0,66,wallet,9568,2025-01-02 12:01:27
523.24,35.34,FR,3631,4492,1,0,53,bank_transfer,7180,2025-01-02 12:12:08
377.8,87.81,RO,4458,6314,0,0,60,cash,12263,2025-01-02 12:15:46
868.43,115.94,BG,4479,7886,1,0,25,wallet,35316,2025-01-02 12:17:15
266.08,139.35,ES,3925,400,0,0,46,card,1970,2025-01-02 12:20:18
729.84,95.3,PL,2515,4340,0,0,3,bank_transfer,40097,2025-01-02 12:27:09
433.11,428.03,BG,1424,1021,0,0,63,card,22704,2025-01-02 12:38:17
286.58,285.97,GB,4748,1861,1,0,29,card,30052,2025-01-02 12:53:00
464.25,38.76,BG,3767,4340,1,0,1,wallet,5939,2025-01-02 12:53:19
191.1,24.53,NL,4836,7487,1,0,98,card,28646,2025-01-02 12:54:28
641.14,70.62,RO,610,7815,2,0,31,card,36743,2025-01-02 12:56:12
581.28,124.94,US,661,384,0,0,36,bank_transfer,39491,2025-01-02 13:09:26
410.02,55.72,BG,1930,7144,0,0,57,bank_transfer,40334,2025-01-02 13:17:47
560.87,89.43,ES,4725,4442,1,0,56,cash,46469,2025-01-02 13:19:49
520.86,46.93,NL,3188,5451,0,0,68,card,23608,2025-01-02 13:20:30
258.88,45.33,RO,1696,860,0,0,88,wallet,42694,2025-01-02 13:23:15
74.28,22.83,BG,184,902,1,0,96,card,9445,2025-01-02 13:27:51
644.25,30.93,RO,590,5779,2,0,61,bank_transfer,39780,2025-01-02 13:41:39
727.31,61.67,FR,3440,661,1,0,27,cash,6589,2025-01-02 13:43:56
446.83,91.07,PL,1888,3685,1,0,56,wallet,21623,2025-01-02 13:45:36
633.4,30.02,NL,599,1938,0,0,43,card,13351,2025-01-02 13:46:27
426.82,102.3,RO,674,535,0,0,62,card,42568,2025-01-02 13:56:58
432.66,45.15,RO,408,4740,0,0,66,cash,22818,2025-01-02 14:10:41
673.3,121.8,RO,287,2927,0,0,31,cash,39990,2025-01-02 14:25:33
479.19,115.63,DE,3333,2456,0,0,86,cash,47026,2025-01-02 14:27:04
142.68,96.09,NL,1066,4099,0,0,39,card,43688,2025-01-02 14:34:05
539.37,17.61,IT,3939,6184,0,0,64,card,49830,2025-01-02 14:37:34
429.12,109.62,NL,1820,749,0,0,11,cash,34346,2025-01-02 14:42:00
510.65,29.5,NL,4828,6809,0,0,53,card,28560,2025-01-02 14:49:01
299.16,331.15,ES,4426,6120,0,0,26,card,49473,2025-01-02 14:55:15
290.82,144.02,RO,1528,3597,0,0,27,card,1925,2025-01-02 15:07:06
500.59,88.9,DE,3901,3035,0,0,71,card,1801,2025-01-02 15:13:09
717.48,54.88,FR,4220,1121,0,0,50,bank_transfer,44137,2025-01-02 15:21:53
643.83,134.64,IT,2332,3945,2,0,27,card,9437,2025-01-02 15:33:51
545.27,107.12,RO,4139,1682,1,0,82,bank_transfer,39459,2025-01-02 15:47:21
509.93,100.81,BG,197,6934,1,0,44,cash,10062,2025-01-02 15:47:28
289.93,141.0,FR,483,1245,0,0,28,card,29990,2025-01-02 15:57:11
177.73,17.76,NL,707,4937,0,0,53,cash,25712,2025-01-02 16:08:00
449.57,45.3,US,3833,447,1,0,96,card,9228,2025-01-02 16:11:03
424.79,17.29,PL,2332,1723,3,0,56,card,48394,2025-01-02 16:17:27
642.44,94.12,DE,3885,3954,0,0,74,card,9626,2025-01-02 16:28:56
542.37,141.51,GB,3706,1982,0,0,53,card,12804,2025-01-02 16:31:53
178.34,44.3,RO,673,2232,0,0,87,card,32860,2025-01-02 16:34:02
379.71,40.25,BG,1708,5272,0,0,88,cash,22559,2025-01-02 16:38:00
363.66,57.57,FR,42,7041,1,0,70,bank_transfer,3633,2025-01-02 16:41:50
104.4,22.94,NL,2109,5737,0,1,78,card,5202,2025-01-02 16:55:21
343.37,87.37,FR,488,5601,0,0,21,wallet,44343,2025-01-02 17:05:25
233.96,102.68,GB,2885,4946,0,0,40,wallet,28896,2025-01-02 17:23:50
610.57,40.35,ES,3871,4128,0,0,33,cash,49793,2025-01-02 17:27:39
147.05,130.5,ES,3231,3410,0,0,98,wallet,13145,2025-01-02 17:33:46
324.44,65.87,RO,453,29,0,0,85,card,22424,2025-01-02 17:38:25
593.82,45.99,FR,4134,3774,0,0,54,bank_transfer,31424,2025-01-02 18:03:13
358.25,94.32,PL,3730,412,0,0,83,bank_transfer,15184,2025-01-02 18:13:56
561.7,115.47,GB,1316,5375,1,0,20,bank_transfer,28943,2025-01-02 18:19:09
297.26,70.36,NL,814,6787,0,0,9,bank_transfer,2880,2025-01-02 18:39:03
365.02,62.95,GB,1232,3826,0,0,47,card,12349,2025-01-02 18:56:44
551.49,96.84,US,2154,4161,1,0,66,wallet,17007,2025-01-02 19:01:51
544.31,48.43,GB,4150,259,0,0,27,bank_transfer,25571,2025-01-02 19:23:39
431.38,60.71,IT,1376,4939,0,0,26,bank_transfer,12812,2025-01-02 19:33:58
483.86,53.39,ES,2443,2479,1,0,46,wallet,31508,2025-01-02 19:38:52
390.98,65.12,FR,985,5921,0,0,99,cash,7356,2025-01-02 19:41:14
596.71,83.2,DE,543,4688,0,0,74,card,46980,2025-01-02 19:49:50
428.12,226.4,BG,2194,7686,0,0,35,card,19820,2025-01-02 20:02:02
222.31,195.38,DE,2855,6913,0,0,3,card,1665,2025-01-02 20:08:03
216.71,67.74,IT,922,6389,3,0,16,wallet,20534,2025-01-02 20:09:11
552.32,33.74,DE,4558,1212,2,0,97,card,17768,2025-01-02 20:10:34
288.74,78.91,BG,4737,6356,0,0,71,bank_transfer,17076,2025-01-02 20:11:21
447.43,162.23,ES,914,869,0,0,57,card,48398,2025-01-02 20:15:33
646.59,80.52,RO,2343,787,0,0,67,cash,37233,2025-01-02 20:16:06
721.4,14.28,FR,2956,5497,1,0,59,card,29422,2025-01-02 20:26:14
664.14,64.05,PL,3492,511,0,0,3,bank_transfer,7179,2025-01-02 21:15:43
278.45,74.97,DE,2209,5080,0,0,74,card,13398,2025-01-02 21:31:06
749.63,38.39,RO,681,6931,0,0,31,wallet,21043,2025-01-02 21:31:40
457.16,84.05,DE,4000,3724,1,0,58,wallet,15363,2025-01-02 21:40:33
324.21,212.5,NL,1554,5593,0,0,20,bank_transfer,44381,2025-01-02 21:42:06
265.01,57.53,IT,2778,1367,3,0,1,card,33585,2025-01-02 21:42:58
288.63,192.45,BG,3006,4638,1,0,90,card,16401,2025-01-02 21:54:43
483.55,32.91,IT,2547,6908,0,0,13,card,35559,2025-01-02 21:55:06
582.92,94.56,IT,4990,5756,0,0,1,card,18600,2025-01-02 22:27:19
207.67,51.73,DE,2968,1271,0,0,34,card,36254,2025-01-02 22:33:02
423.78,17.46,GB,2011,3347,3,0,57,card,46267,2025-01-02 22:45:19
556.09,129.66,PL,2897,7942,0,0,7,card,28851,2025-01-02 22:45:26
365.17,47.5,FR,175,6115,0,0,99,wallet,43920,2025-01-02 22:45:37
504.4,46.4,PL,971,5942,0,0,5,card,40637,2025-01-02 22:47:17
65.97,17.37,RO,1523,1708,0,0,56,card,44943,2025-01-02 23:04:46
593.04,51.98,NL,445,6893,0,0,13,card,23552,2025-01-02 23:10:16
388.59,50.45,BG,2441,2315,0,0,58,card,14476,2025-01-02 23:18:41
400.68,11.88,IT,3788,3393,2,1,23,bank_transfer,2593,2025-01-02 23:49:29
262.89,62.98,BG,1630,5037,1,0,84,bank_transfer,32586,2025-01-02 23:55:42
514.75,29.36,IT,2461,4798,1,0,2,card,17095,2025-01-03 00:00:29
289.77,81.76,US,1326,6257,0,0,99,card,27630,2025-01-03 00:14:14
776.99,73.4,IT,1828,4801,0,0,13,card,5977,2025-01-03 00:17:39
187.63,80.44,FR,510,4691,1,0,1,card,43139,2025-01-03 00:17:49
514.89,73.97,PL,3362,5104,0,0,2,card,33894,2025-01-03 00:21:46
366.42,34.8,IT,2680,3367,0,0,36,wallet,8869,2025-01-03 00:36:39
301.71,65.56,GB,3444,7458,0,0,43,card,23620,2025-01-03 00:47:13
572.21,69.36,ES,242,3185,0,0,63,bank_transfer,47652,2025-01-03 00:49:41
458.64,23.81,GB,1389,4224,1,0,97,card,523,2025-01-03 00:50:04
367.1,105.94,PL,2693,7081,0,0,20,card,9279,2025-01-03 00:52:10
407.26,125.29,PL,2429,5334,2,0,80,wallet,13139,2025-01-03 00:56:57
375.09,63.11,US,2928,919,0,0,44,card,109,2025-01-03 01:20:14
448.09,278.47,US,1786,4579,1,0,20,card,512,2025-01-03 01:35:13
589.99,37.87,ES,2538,2258,0,0,18,card,43545,2025-01-03 01:47:32
460.62,22.4,NL,4302,6893,0,0,66,cash,22707,2025-01-03 01:58:28
241.03,78.61,RO,2833,6191,0,0,88,bank_transfer,11664,2025-01-03 02:10:28
828.25,76.71,BG,4678,5619,0,0,74,card,46434,2025-01-03 02:15:13
307.38,158.26,IT,2327,6209,0,0,57,bank_transfer,25925,2025-01-03 02:18:51
327.33,85.78,IT,2130,4292,2,0,5,card,30554,2025-01-03 02:22:15
637.55,12.69,NL,3052,255,1,0,40,card,36926,2025-01-03 02:22:25
460.65,107.21,FR,3436,2266,1,0,23,wallet,33171,2025-01-03 02:29:41
401.0,89.42,IT,2345,7971,0,0,10,card,9465,2025-01-03 03:04:12
379.62,60.37,PL,189,5777,0,0,1,bank_transfer,10069,2025-01-03 03:11:28
407.28,62.98,PL,1755,4718,2,0,69,card,8022,2025-01-03 03:21:07
624.7,38.64,DE,3235,7977,0,0,19,card,7735,2025-01-03 03:40:28
575.93,72.73,IT,1577,7533,1,0,38,card,37680,2025-01-03 03:49:36
816.22,34.16,RO,4307,1834,0,0,2,card,13974,2025-01-03 03:50:55
373.74,30.45,DE,3811,2036,0,0,81,card,28591,2025-01-03 04:26:52
405.57,96.51,US,3701,455,0,0,45,wallet,4361,2025-01-03 04:41:41
250.23,201.0,US,2587,6995,1,0,81,bank_transfer,25526,2025-01-03 04:53:11
446.38,100.27,ES,4268,6849,1,0,57,wallet,24164,2025-01-03 05:00:07
104.56,43.85,FR,4342,5913,0,0,34,wallet,12025,2025-01-03 05:12:14
509.74,71.82,US,4183,6839,1,0,35,bank_transfer,36433,2025-01-03 05:14:51
51.98,70.87,IT,1687,895,0,0,39,card,44641,2025-01-03 05:24:25
350.88,58.14,GB,108,5520,1,0,10,card,49647,2025-01-03 05:34:56
127.75,83.0,RO,3643,3034,0,0,88,bank_transfer,13650,2025-01-03 05:41:02
688.18,33.48,ES,2181,2048,0,0,88,card,28142,2025-01-03 05:44:45
464.01,93.15,PL,3124,6415,0,0,90,card,8716,2025-01-03 06:12:56
334.72,113.77,IT,802,4135,1,0,79,wallet,3375,2025-01-03 06:17:07
312.28,81.45,DE,584,4495,0,0,60,card,5426,2025-01-03 06:29:23
504.06,83.12,FR,1642,955,0,0,3,card,38843,2025-01-03 06:45:43
287.0,83.35,IT,1061,2353,1,0,72,bank_transfer,34251,2025-01-03 06:48:43
406.36,116.28,DE,4139,5685,0,0,22,wallet,37442,2025-01-03 07:00:26
344.92,70.41,GB,1047,2774,0,0,92,cash,31394,2025-01-03 07:05:47
